,STT,CustomerRef,CustomerName,SoldToCode,SoldToName,MajorAccount,MajorAccountCode,MajorAccountCode.1,Channel,SubChannel,Longitude,Latitude,City,State,Country,SalesOrganization,Region
89,90,11001291,Customer 149,11001291,Company 105,Account 8,91353,91230,Grocery,National Distributor,130.9182128,-12.470807,Unincorporated Norther Territories,Northern Territory,Australia,Organization 1,Darwin
90,91,11001301,Customer 150,11001301,Company 106,Account 4,91418,91295,Foodservice,National Distributor,150.9013804,-33.8410963,Fairfield,New South Wales,Australia,Organization 1,Greater Sydney
91,92,11001323,Customer 151,11001323,Company 107,Account 5,91401,91278,Foodservice,Independent Distributor,116.1441495,-34.2426601,Manjimup,Western Australia,Australia,Organization 1,Mandurah & Bunbury
92,93,11001331,Customer 152,11001331,Company 108,Account 3,91363,91240,Foodservice,National Distributor,145.583916541926,-35.6394867252742,Berrigan,New South Wales,Australia,,Murray
93,94,11001372,Customer 154,11001372,Company 110,Account 3,91363,91240,Foodservice,National Distributor,153.0632,-27.3983464,Brisbane,Queensland,Australia,Organization 1,Greater Brisbane
94,95,11001374,Customer 155,11001374,Company 111,Account 5,91401,91278,Foodservice,Independent Distributor,138.6530259,-34.8957346,Norwood Payneham St Peters,South Australia,Australia,Organization 1,Adelaide
95,96,11001396,Customer 156,11001396,Company 112,Account 3,91363,91240,Foodservice,National Distributor,150.853244,-34.4557672,Wollongong,New South Wales,Australia,Organization 1,"Sth Highlands, Shoalhaven & Illawarra"
96,97,11001430,Customer 157,11001430,Company 113,Account 3,91363,91240,Foodservice,National Distributor,142.1618987,-34.1881591,Mildura,Victoria,Australia,Organization 1,North West
97,98,11001432,Customer 158,11001432,Company 114,Account 3,91363,91240,Foodservice,National Distributor,151.2675198,-33.7902073,Manly,New South Wales,Australia,Organization 1,Greater Sydney
98,99,11001439,Customer 159,11001439,Company 115,Account 3,91363,91240,Foodservice,National Distributor,153.0527301,-26.3992678,Sunshine Coast,Queensland,Australia,Organization 1,Sunshine Coast & Wide Bay
99,100,11001440,Customer 160,11001440,Company 116,Account 3,91363,91240,Foodservice,National Distributor,150.9363098,-33.930561,Liverpool,New South Wales,Australia,Organization 1,Greater Sydney
100,101,11001450,Customer 161,11001450,Company 117,Account 3,91363,91240,Foodservice,National Distributor,145.7550351,-16.9415648,Cairns,Queensland,Australia,Organization 1,Cairns
101,102,11001452,Customer 162,11001452,Company 118,Account 4,91418,91295,Foodservice,National Distributor,144.7495117,-37.7805175,Melton,Victoria,Australia,Organization 1,Greater Melbourne
102,103,11001484,Customer 163,11001484,Company 119,Account 3,91363,91240,Foodservice,National Distributor,114.6336603,-28.7624443,Geraldton-Greenough,Western Australia,Australia,Organization 1,Western Australia - Outback (South)
103,104,11001489,Customer 164,11001489,Company 120,Account 12,91412,91289,Foodservice,Global QSR Distributor,138.5924261,-34.8447741,Port Adelaide Enfield,South Australia,Australia,Organization 1,Adelaide
104,105,11001490,Customer 165,11001490,Company 121,Account 12,91412,91289,Foodservice,Global QSR Distributor,145.244993,-38.0035465,Greater Dandenong,Victoria,Australia,Organization 1,Greater Melbourne
105,106,11001491,Customer 166,11001491,Company 122,Account 12,91412,91289,Foodservice,Global QSR Distributor,115.86838,-32.12392,Cockburn,Western Australia,Australia,Organization 1,Perth
106,107,11001494,Customer 167,11001494,Company 123,Account 12,91412,91289,Foodservice,Global QSR Distributor,150.8760197,-33.8471963,Fairfield,New South Wales,Australia,Organization 1,Greater Sydney
107,108,11001500,Customer 171,11001500,Company 127,Account 12,91412,91289,Foodservice,Global QSR Distributor,153.0026721,-27.5399999,Brisbane,Queensland,Australia,Organization 1,Greater Brisbane
108,109,11001502,Customer 173,11001502,Company 129,Account 13,91411,91288,Foodservice,Global QSR Distributor,145.244993,-38.0035465,Greater Dandenong,Victoria,Australia,Organization 1,Greater Melbourne
109,110,11001507,Customer 174,11001507,Company 130,Account 3,91363,91240,Foodservice,National Distributor,144.821277,-37.834287,Hobsons Bay,Victoria,Australia,Organization 1,Greater Melbourne
110,111,11001537,Customer 176,11001537,Company 132,Account 3,91363,91240,Foodservice,National Distributor,150.878562,-33.8476651,Fairfield,New South Wales,Australia,Organization 1,Greater Sydney
111,112,11001538,Customer 177,11001538,Company 133,Account 4,91418,91295,Foodservice,National Distributor,145.1678097,-37.749515,Manningham,Victoria,Australia,Organization 1,Greater Melbourne
